Date,Open,High,Low,Close,Volume
7/2/2010,55.26,56.16,54.22,54.96,11996727
7/6/2010,56.15,56.73,54.7,55.54,10998974
7/7/2010,55.68,57.55,55.4,57.54,12151258
7/8/2010,58.36,58.54,57.02,58.54,9054953
7/9/2010,58.6,58.86,57.85,58.56,6312846
7/12/2010,58.42,58.96,57.6,58.25,7019552
7/13/2010,59.1,59.7,58.56,58.62,9266946
7/14/2010,58.4,59.52,57.93,58.89,7879671
7/15/2010,58.92,58.92,57.42,58.67,11486013
7/16/2010,58.5,58.51,56.6,56.68,17111794
7/19/2010,57.77,59.68,57.34,59.15,14266575
7/20/2010,58.49,61.32,58.02,61.04,13818151
7/21/2010,61.25,61.5,58.91,59.59,12534853
7/22/2010,60.5,61.87,60.27,61.3,12753230
7/23/2010,59.08,60,58.2,59.35,18902992
7/26/2010,59.65,59.65,57.84,58.85,9593964
7/27/2010,59.25,59.25,57.58,58.93,13799329
7/28/2010,58.92,60.07,58.61,59.73,10541311
7/29/2010,60.15,60.98,58.71,59.81,10263367
7/30/2010,58.91,60,58.72,59.66,8902362
8/2/2010,60.96,63.37,60.89,62.74,15300126
8/3/2010,61.84,63.37,61.84,62.86,11711864
8/4/2010,62.87,63.72,62.35,62.92,8675332
8/5/2010,62.63,63.28,61.94,63.26,5845748
8/6/2010,62.76,63.29,61.43,62.34,7151738
8/9/2010,62.84,63.19,62.44,62.75,4657636
8/10/2010,61.9,62.53,61.16,62.15,6889311
8/11/2010,60.98,61.08,59.63,60.06,9892000
8/12/2010,58.73,59.89,58.63,59.3,7802805
8/13/2010,59,59.84,58.72,58.76,5605492
8/16/2010,58.51,59.83,58.4,59.37,5976637
8/17/2010,60,60.99,59.64,60.31,5845797
8/18/2010,60.07,60.17,58.72,59.18,8503648
8/19/2010,59.05,59.15,57.37,57.82,8520185
8/20/2010,57.15,57.43,55.82,56.46,9343201
8/23/2010,55.63,56.73,55.5,55.82,10497248
8/24/2010,54.86,56.36,54.67,54.77,15224851
8/25/2010,54.71,54.92,53.95,54.69,9072081
8/26/2010,55.19,55.42,53.42,53.46,13382497
8/27/2010,53.92,55.94,53.44,55.76,12559019
8/30/2010,55.61,55.92,54.1,54.17,9392576
